START_TIME,END_TIME,ACTIVITY,ACTIVITY_DETAILS,ACTIVITY_TYPE,NUMBER,ENTITY,AS_ENTITY,SUB_ENTITY,COMMMETH,ADDRESS,SCHEDULE_NAME,EXAMINED,AFFECTED,FAILED,BYTES,IDLE,MEDIAW,PROCESSES,COMPLETION_CODE,SUCCESSFUL,VOLUME_NAME,DRIVE_NAME,LIBRARY_NAME,LAST_USE,COMM_WAIT,NUM_OFFSITE_VOLS
2020-04-06 20:01:36.000000,2020-04-06 20:01:39.000000,BACKUP,"SESSION_LIST: 183087,183086",SESSION_END,183086,RVHPT02,"","",Tcp/Ip,RVHPT02.PA.LCL:51707,INC-RVHPT02,8,7,0,8530987,0,0,2,0,YES,"","","","",0,""
2020-04-06 20:02:53.000000,2020-04-06 20:02:53.000000,BACKUP,TDP MSSQL,full,183063,RVAUDHDQ01,RVAUDHDQ01,EPAD,Tcp/Ip,RVAUDHDQ01.PA.LCL:51914,SQL-RVAUDHDQ01,0,6,0,0,0,0,0,0,YES,"","","","",0,""
2020-04-06 20:02:54.000000,2020-04-06 20:02:54.000000,BACKUP,TDP MSSQL,full,183063,RVAUDHDQ01,RVAUDHDQ01,master,Tcp/Ip,RVAUDHDQ01.PA.LCL:51914,SQL-RVAUDHDQ01,0,9,0,0,0,0,0,0,YES,"","","","",0,""
2020-04-06 20:02:55.000000,2020-04-06 20:02:55.000000,BACKUP,TDP MSSQL,full,183063,RVAUDHDQ01,RVAUDHDQ01,model,Tcp/Ip,RVAUDHDQ01.PA.LCL:51914,SQL-RVAUDHDQ01,0,12,0,0,0,0,0,0,YES,"","","","",0,""
2020-04-06 20:02:56.000000,2020-04-06 20:02:56.000000,BACKUP,TDP MSSQL,full,183063,RVAUDHDQ01,RVAUDHDQ01,msdb,Tcp/Ip,RVAUDHDQ01.PA.LCL:51914,SQL-RVAUDHDQ01,0,15,0,0,0,0,0,0,YES,"","","","",0,""
2020-04-06 20:02:57.000000,2020-04-06 20:02:57.000000,BACKUP,TDP MSSQL,full,183063,RVAUDHDQ01,RVAUDHDQ01,ReportServer,Tcp/Ip,RVAUDHDQ01.PA.LCL:51914,SQL-RVAUDHDQ01,0,18,0,0,0,0,0,0,YES,"","","","",0,""
2020-04-06 20:02:58.000000,2020-04-06 20:02:58.000000,BACKUP,TDP MSSQL,full,183063,RVAUDHDQ01,RVAUDHDQ01,ReportServerTempDB,Tcp/Ip,RVAUDHDQ01.PA.LCL:51914,SQL-RVAUDHDQ01,0,21,0,0,0,0,0,0,YES,"","","","",0,""
2020-04-06 20:02:59.000000,2020-04-06 20:02:59.000000,BACKUP,TDP MSSQL,full,183063,RVAUDHDQ01,RVAUDHDQ01,RVAUDHDQ01_Mgmt,Tcp/Ip,RVAUDHDQ01.PA.LCL:51914,SQL-RVAUDHDQ01,0,24,0,0,0,0,0,0,YES,"","","","",0,""
2020-04-06 19:56:04.000000,2020-04-06 20:03:00.000000,BACKUP,SESSION_LIST: 183063,SESSION_END,183063,RVAUDHDQ01,"","",Tcp/Ip,RVAUDHDQ01.PA.LCL:51914,SQL-RVAUDHDQ01,0,24,0,21086564295,7,0,1,0,YES,"","","","",282,""
2020-04-06 20:03:16.000000,2020-04-06 20:03:16.000000,BACKUP,TDP MSSQL,full,183094,RVAUDHDQ01,RVAUDHDQ01,DPP,Tcp/Ip,RVAUDHDQ01.PA.LCL:52028,SQL-RVAUDHDQ01,0,3,0,0,0,0,0,0,YES,"","","","",0,""
