START_TIME,END_TIME,ACTIVITY,ACTIVITY_DETAILS,ACTIVITY_TYPE,NUMBER,ENTITY,AS_ENTITY,SUB_ENTITY,COMMMETH,ADDRESS,SCHEDULE_NAME,EXAMINED,AFFECTED,FAILED,BYTES,BYTES_PROTECTED,BYTES_WRITTEN,DEDUP_SAVINGS,COMP_SAVINGS,IDLE,MEDIAW,PROCESSES,COMPLETION_CODE,SUCCESSFUL,VOLUME_NAME,DRIVE_NAME,LIBRARY_NAME,LAST_USE,COMM_WAIT,NUM_OFFSITE_VOLS,INCIDENT_TYPE,ACKNOWLEDGE,CONTACT
2020-03-15 19:46:43.000000,2020-03-15 20:06:02.000000,BACKUP,VMware,Incremental Forever - Incremental,284419,SPVE_SSF_DM02,SPVE_SSF_DC,LIHBG000WW36,SSL,10.3.60.16:43048,SPVE_SSFDC_SCH01,1,1,0,2965700923,"","","","",0,0,0,0,YES,"","","","",0,"","","",""
2020-03-15 19:58:39.000000,2020-03-15 20:06:17.000000,BACKUP,SESSION_LIST: 284734,SESSION_END,284734,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44018,"",0,38,0,777781666,777792192,84816709,389377910,303586629,449,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 19:58:31.000000,2020-03-15 20:06:42.000000,BACKUP,SESSION_LIST: 284733,SESSION_END,284733,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44010,"",0,3,0,5570593,5571424,1036708,100004,4433848,490,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 19:59:12.000000,2020-03-15 20:06:50.000000,BACKUP,SESSION_LIST: 284752,SESSION_END,284752,SPVE_SSF_DC (SPVE_SSF_DM01),"","",SSL,lihbg000sp01l:36770,"",0,322,0,5425401302,5425490496,890577988,3422871318,1111948454,379,0,1,0,YES,"","","","",22,"","","",""
2020-03-15 19:58:41.000000,2020-03-15 20:06:52.000000,BACKUP,SESSION_LIST: 284740,SESSION_END,284740,SPVE_SSF_DC (SPVE_SSF_DM01),"","",SSL,lihbg000sp01l:36722,"",0,303,0,4621077765,4621161696,883177008,2707943395,1029954029,419,0,1,0,YES,"","","","",20,"","","",""
2020-03-15 19:58:39.000000,2020-03-15 20:06:53.000000,BACKUP,SESSION_LIST: 284738,SESSION_END,284738,SPVE_SSF_DC (SPVE_SSF_DM01),"","",SSL,lihbg000sp01l:36720,"",0,308,0,4758506812,4758592128,894477255,2811891301,1052134868,418,0,1,0,YES,"","","","",20,"","","",""
2020-03-15 19:55:25.000000,2020-03-15 20:06:54.000000,BACKUP,VMware,Incremental Forever - Incremental,284336,SPVE_SSF_DM01,SPVE_SSF_DC,LIHBG000DVM2,SSL,lihbg000sp01l:35628,SPVE_SSFDC_SCH01,1,1,0,4643616247,"","","","",0,0,0,0,YES,"","","","",0,"","","",""
2020-03-15 20:05:32.000000,2020-03-15 20:06:58.000000,BACKUP,SESSION_LIST: 284793,SESSION_END,284793,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44212,"",0,120,0,8420663,8452718,3027817,120282,5271299,79,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 19:46:53.000000,2020-03-15 20:07:15.000000,BACKUP,VMware,Incremental Forever - Incremental,284630,SPVE_SSF_DM02,SPVE_SSF_DC,LIHBG000TPE8,SSL,10.3.60.16:43646,SPVE_SSFDC_SCH01,1,1,0,5094493174,"","","","",0,0,0,0,YES,"","","","",0,"","","",""
2020-03-15 20:06:42.000000,2020-03-15 20:07:31.000000,BACKUP,SESSION_LIST: 284805,SESSION_END,284805,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44270,"",0,4,0,23856,24108,6938,0,16907,48,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:05:45.000000,2020-03-15 20:07:47.000000,BACKUP,SESSION_LIST: 284797,SESSION_END,284797,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44220,"",0,13,0,1966223,1969824,226008,283447,1456625,122,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:06:58.000000,2020-03-15 20:07:47.000000,BACKUP,SESSION_LIST: 284806,SESSION_END,284806,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44274,"",0,69,0,4417124,4434386,1425990,96592,2893860,44,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 19:49:47.000000,2020-03-15 20:07:47.000000,BACKUP,VMware,Incremental Forever - Incremental,284660,SPVE_SSF_DM02,SPVE_SSF_DC,LIHBG000TGE19,SSL,10.3.60.16:43802,SPVE_SSFDC_SCH01,1,0,1,0,"","","","",0,0,0,-1,NO,"","","","",0,"","","",""
2020-03-15 20:02:23.000000,2020-03-15 20:08:05.000000,BACKUP,"SESSION_LIST: 284770,284769",SESSION_END,284769,LIHBG000DV23U,"","",SSL,lihbg000dv23u:35583,LIHBG000DV23U_INCR,1263380,555,1,590603449,590817332,18582905,465112653,106986030,320,0,2,0,YES,"","","","",7,"","","",""
2020-03-15 19:43:03.000000,2020-03-15 20:08:39.000000,BACKUP,VMware,Incremental Forever - Incremental,284831,SPVE_SSF_DM02,SPVE_SSF_DC,LIHBG000DVH2,SSL,10.3.60.16:44382,SPVE_SSFDC_SCH01,1,1,0,4930197325,"","","","",0,0,0,0,YES,"","","","",0,"","","",""
2020-03-15 19:58:43.000000,2020-03-15 20:08:46.000000,BACKUP,SESSION_LIST: 284745,SESSION_END,284745,SPVE_SSF_DC (SPVE_SSF_DM01),"","",SSL,lihbg000sp01l:36734,"",0,204,0,4681500868,4681557376,884765390,2967366332,829366902,530,0,1,0,YES,"","","","",22,"","","",""
2020-03-15 19:54:59.000000,2020-03-15 20:08:49.000000,BACKUP,VMware,Incremental Forever - Incremental,284196,SPVE_SSF_DM01,SPVE_SSF_DC,LIHBG000DVGD,SSL,lihbg000sp01l:35226,SPVE_SSFDC_SCH01,1,0,1,0,"","","","",0,0,0,-1,NO,"","","","",0,"","","",""
2020-03-15 19:55:16.000000,2020-03-15 20:08:55.000000,BACKUP,VMware,Incremental Forever - Incremental,284707,SPVE_SSF_DM01,SPVE_SSF_DC,LIHBG000DV77,SSL,lihbg000sp01l:36560,SPVE_SSFDC_SCH01,1,0,1,0,"","","","",0,0,0,-1,NO,"","","","",0,"","","",""
2020-03-15 20:07:31.000000,2020-03-15 20:09:17.000000,BACKUP,SESSION_LIST: 284811,SESSION_END,284811,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44300,"",0,385,0,27668870,27772979,11245430,1116470,15302834,93,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:06:26.000000,2020-03-15 20:09:17.000000,BACKUP,SESSION_LIST: 284804,SESSION_END,284804,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44264,"",0,158,0,2457470666,2457514432,268527002,1404345721,784596205,137,0,1,0,YES,"","","","",6,"","","",""
2020-03-15 20:08:04.000000,2020-03-15 20:09:17.000000,BACKUP,SESSION_LIST: 284819,SESSION_END,284819,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44320,"",0,605,0,44005138,44170187,17386974,4869547,21742061,71,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 19:46:49.000000,2020-03-15 20:09:29.000000,BACKUP,VMware,Incremental Forever - Incremental,284842,SPVE_SSF_DM02,SPVE_SSF_DC,LIHBG000APHD,SSL,10.3.60.16:44408,SPVE_SSFDC_SCH01,1,1,0,4482816597,"","","","",0,0,0,0,YES,"","","","",0,"","","",""
2020-03-15 20:09:17.000000,2020-03-15 20:09:57.000000,BACKUP,SESSION_LIST: 284840,SESSION_END,284840,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44398,"",0,176,0,12151132,12197348,4979192,883928,6286175,32,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:09:17.000000,2020-03-15 20:09:57.000000,BACKUP,SESSION_LIST: 284839,SESSION_END,284839,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44394,"",0,214,0,14973114,15029856,6416200,454844,8099815,31,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:09:40.000000,2020-03-15 20:10:33.000000,BACKUP,SESSION_LIST: 284844,SESSION_END,284844,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44418,"",0,286,0,20318652,20395338,8207085,558825,11549695,46,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:09:22.000000,2020-03-15 20:16:16.000000,BACKUP,SESSION_LIST: 284843,SESSION_END,284843,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44410,"",0,58,0,269419134,269435316,25474574,14092790,229851132,406,0,1,0,YES,"","","","",1,"","","",""
2020-03-15 20:09:09.000000,2020-03-15 20:16:17.000000,BACKUP,SESSION_LIST: 284835,SESSION_END,284835,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44386,"",0,113,0,1161626843,1161658370,142508724,101890759,917226117,409,0,1,0,YES,"","","","",4,"","","",""
2020-03-15 19:13:08.000000,2020-03-15 20:16:47.000000,BACKUP,"SESSION_LIST: 284295,284294",SESSION_END,284294,LIHBG000TPCCU,"","",SSL,lihbg000tpccug:49231,LIHBG000TPCCU_INCR,10147733,5653,2,34114040097,34116124955,555653060,27766518224,5793678149,3249,0,2,0,YES,"","","","",266,"","","",""
2020-03-15 20:05:02.000000,2020-03-15 20:17:01.000000,BACKUP,VMware,Incremental Forever - Incremental,284627,SPVE_SSF_DM02,SPVE_SSF_DC,lihbg000tv34l,SSL,10.3.60.16:43630,SPVE_SSFDC_SCH01,1,1,0,1170044998,"","","","",0,0,0,0,YES,"","","","",0,"","","",""
2020-03-15 20:14:29.000000,2020-03-15 20:17:58.000000,BACKUP,SESSION_LIST: 284860,SESSION_END,284860,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44506,"",0,527,0,37787204,37929527,16368429,878268,20534853,193,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:08:53.000000,2020-03-15 20:17:58.000000,BACKUP,SESSION_LIST: 284830,SESSION_END,284830,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44374,"",0,171,0,4289726297,4289774006,827664024,2730681526,731378866,485,0,1,0,YES,"","","","",15,"","","",""
2020-03-15 20:08:20.000000,2020-03-15 20:17:58.000000,BACKUP,SESSION_LIST: 284827,SESSION_END,284827,SPVE_SSF_DC (SPVE_SSF_DM02),"","",SSL,10.3.60.16:44358,"",0,179,0,4950198193,4950248134,819069159,3221652844,909474221,509,0,1,0,YES,"","","","",16,"","","",""
2020-03-15 19:59:50.000000,2020-03-15 20:18:02.000000,BACKUP,SESSION_LIST: 284761,SESSION_END,284761,SPVE_SSF_DC (SPVE_SSF_DM01),"","",SSL,lihbg000sp01l:36832,"",0,242,0,5953489510,5953556544,998209486,3859251940,1096025422,1013,0,1,0,YES,"","","","",19,"","","",""
2020-03-15 19:59:07.000000,2020-03-15 20:18:03.000000,BACKUP,VMware,Incremental Forever - Incremental,284192,SPVE_SSF_DM01,SPVE_SSF_DC,LIHBG000DVGS,SSL,lihbg000sp01l:35218,SPVE_SSFDC_SCH01,1,1,0,5971500249,"","","","",0,0,0,0,YES,"","","","",0,"","","",""
2020-03-15 19:55:40.000000,2020-03-15 20:18:05.000000,BACKUP,VMware,Incremental Forever - Incremental,284900,SPVE_SSF_DM01,SPVE_SSF_DC,LIHBG000DVE7,SSL,lihbg000sp01l:37142,SPVE_SSFDC_SCH01,1,0,1,0,"","","","",0,0,0,-1,NO,"","","","",0,"","","",""
2020-03-15 19:58:31.000000,2020-03-15 20:18:06.000000,BACKUP,VMware,Incremental Forever - Incremental,284579,SPVE_SSF_DM01,SPVE_SSF_DC,LIHBG000DVD1,SSL,lihbg000sp01l:36202,SPVE_SSFDC_SCH01,1,0,1,0,"","","","",0,0,0,-1,NO,"","","","",0,"","","",""
2020-03-15 20:05:53.000000,2020-03-15 20:18:14.000000,BACKUP,VMware,Incremental Forever - Incremental,284651,SPVE_SSF_DM02,SPVE_SSF_DC,inhbg000ap04l,SSL,10.3.60.16:43748,SPVE_SSFDC_SCH01,1,0,1,0,"","","","",0,0,0,-1,NO,"","","","",0,"","","",""
2020-03-15 19:59:25.000000,2020-03-15 20:18:16.000000,BACKUP,VMware,Incremental Forever - Incremental,284607,SPVE_SSF_DM01,SPVE_SSF_DC,LIHBG000CIGB,SSL,lihbg000sp01l:36284,SPVE_SSFDC_SCH01,1,0,1,0,"","","","",0,0,0,-1,NO,"","","","",0,"","","",""
2020-03-15 20:17:59.000000,2020-03-15 20:18:30.000000,BACKUP,SESSION_LIST: 284895,SESSION_END,284895,SPVE_SSF_DC (SPVE_SSF_DM01),"","",SSL,lihbg000sp01l:37132,"",0,206,0,14378525,14433446,6024895,671550,7679913,23,0,1,0,YES,"","","","",0,"","","",""
2020-03-15 20:05:49.000000,2020-03-15 20:18:31.000000,BACKUP,VMware,Incremental Forever - Full,284429,SPVE_SSF_DM02,SPVE_SSF_DC,LIHBG000FS07,SSL,10.3.60.16:43072,SPVE_SSFDC_SCH01,1,0,1,0,"","","","",0,0,0,-1,NO,"","","","",0,"","","",""
