chart_id,chart_name,chart_desc,help text
54002,PureArray_Throughput,Array Throughput,This chart shows the read and write throughput rates for the array.
54003,PureArray_IOPS,Array IOPS,This chart shows the read and write IOPS rates for the array.
54004,PureArray_TotalLatency,Total Latency (Array + SAN),"This chart shows the read and write total latency for the array. Total latency includes the internal latency the array took to respond (array latency) plus latency external to the array, introduced by the SAN or the host (SAN latency)."
54005,PureArray_Latency,Array Latency,"This chart shows the read and write array latency for the array. Array latency includes the internal latency the array took to respond, but excludes latency external to the array, introduced by the SAN or the host. Array latency is one component of total latency."
54006,PureArray_SanLatency,SAN Latency,"This chart shows the read and write SAN latency for the array. SAN latency includes latency external to the array, introduced by the SAN or the host, but excludes the internal latency the array took to respond. SAN latency is one component of total latency."
54007,PureArray_TransferSize,Average Transfer Size,This chart shows the average read and write transfer size for the array.
54008,PureArray_QueueDepth,Array Average Queue Depth,This chart shows the average queue depth for the array.
54009,Capacity_PctUsed,Array Usage (%),"This chart shows the capacity used for the array, in percentage."
54010,Capacity_Space,Array Capacity,"This chart shows various capacity measurements for the array, including:
System: Capacity consumed by internal metadata. Snapshots: Capacity consumed by snapshots. Volumes: Unique capacity consumed by volumes. Total: Total consumed capacity on the array. Shared: Shared capacity consumed by deduplicated volumes. Capacity: Capacity installed in the array."
54011,Capacity_ThinProvisioning,Array Thin Provisioning,"This chart shows thin provisioning savings for the array, in percentage."
54012,Capacity_StorageEfficiency,Array Storage Efficiency,"This chart shows Data Reduction and Total Reduction ratios for the array. Data Reduction includes savings from compression and deduplication. Total reduction includes savings from compression, deduplication, and thin provisioning."
54013,PureVolume_TotalThroughputPerSec,Volume Total Throughput,This chart shows the combined read and write throughput rate per volume.
54014,PureVolume_OutputPerSec,Volume Read Throughput,This chart shows the read throughput rate per volume.
54015,PureVolume_InputPerSec,Volume Write Throughput,This chart shows the write throughput rate per volume.
54016,PureVolume_TotalIopsPerSec,Volume Total IOPS,This chart shows the combined read and write IOPS rate per volume.
54017,PureVolume_ReadsPerSec,Volume Read IOPS,This chart shows the read IOPS rate per volume.
54018,PureVolume_WritesPerSec,Volume Write IOPS,This chart shows the write IOPS rate per volume.
54019,PureVolume_TotalUsecPerReadOp,Volume Total Read Latency (Array + SAN),"This chart shows the total read latency per volume. Total latency includes the internal latency the array took to respond (array latency) plus latency external to the array, introduced by the SAN or the host (SAN latency)."
54020,PureVolume_SanUsecPerReadOp,Volume SAN Read Latency,"This chart shows the SAN read latency per volume. SAN latency includes latency external to the array, introduced by the SAN or the host, but excludes the internal latency the array took to respond. SAN latency is one component of total latency."
54021,PureVolume_UsecPerReadOp,Volume Array Read Latency,"This chart shows the array read latency per volume. Array latency includes the internal latency the array took to respond, but excludes latency external to the array, introduced by the SAN or the host. Array latency is one component of total latency."
