Name,Logical CPUs,Virtual CPUs,Processor Speed,Real Memory Bytes,Deployment,Processor,Vendor,Model,Serial #,OS Level,Kernel,Galileo Agent,Avg CPU (24 hours),Peak CPU (24 hours),Avg LCPU (24 hours),Peak LCPU (24 hours),Avg VCPU (24 hours),Peak VCPU (24 hours),Avg Memory (24 hours) Bytes,Peak Memory (24 hours) Bytes,Avg Memory % (24 hours),Peak Memory % (24 hours),Avg Network Throughput (24 hours) B/s,Peak Network Throughput (24 hours) B/s,Avg Disk Throughput (24 hours) B/s,Peak Disk Throughput (24 hours) B/s,Avg Disk Transfers (24 hours) /s,Peak Disk Transfers (24 hours) /s,Avg CPU (7 days),Peak CPU (7 days),Avg LCPU (7 days),Peak LCPU (7 days),Avg VCPU (7 days),Peak VCPU (7 days),Avg Memory (7 days) Bytes,Peak Memory (7 days) Bytes,Avg Memory % (7 days),Peak Memory % (7 days),Avg Network Throughput (7 days) B/s,Peak Network Throughput (7 days) B/s,Avg Disk Throughput (7 days) B/s,Peak Disk Throughput (7 days) B/s,Avg Disk Transfers (7 days) /s,Peak Disk Transfers (7 days) /s,Avg CPU (30 days),Peak CPU (30 days),Avg LCPU (30 days),Peak LCPU (30 days),Avg VCPU (30 days),Peak VCPU (30 days),Avg Memory (30 days) Bytes,Peak Memory (30 days) Bytes,Avg Memory % (30 days),Peak Memory % (30 days),Avg Network Throughput (30 days) B/s,Peak Network Throughput (30 days) B/s,Avg Disk Throughput (30 days) B/s,Peak Disk Throughput (30 days) B/s,Avg Disk Transfers (30 days) /s,Peak Disk Transfers (30 days) /s,SMT,# of Processors,System Firmware,Current Processor Firmware,Total Page Space Bytes,Used Page Space Bytes,Fibre Channel Adapters,Used Fibre Adapters,Ethernet Adapters,Ethernet Adapter Speed,Used Ethernet Adapters,LPAR Type,LPAR Mode,LPAR Vps,LPAR Weight,LPAR Entitled
usmlrh127,4.0,4.0,2.4 GHz,16897592524.8,Unknown,Intel(R) Xeon(R) CPU E7- 4870,-,-,-,Red Hat Enterprise Linux AS release 4 (Nahant Update 5),2.6.9-55.ELsmp,3.1-2,0.674146341,7.08,0.674146341,7.08,-,-,2481248530.874761,2963128975.36,14.6840357724739,17.5358056,11439.257421824,1256161.28,80106.842090496,965400.576,7.744160279,83.178,0.718611111,31.84,0.718611111,31.84,-,-,2046569399.872127,2963128975.36,12.1116034548822,17.5358056,31937.560134656,8528281.6,115384.151057408,17174302.72,12.96489899,2152.436,0.718611111,31.84,0.718611111,31.84,-,-,2046569399.872127,2963128975.36,12.1116034548822,17.5358056,31937.560134656,8528281.6,115384.151057408,17174302.72,12.96489899,2152.436,false,4.0,-,-,4293604147.2,0.0,-,-,-,-,-,-,-,-,-,-
usmlrh126,4.0,4.0,2.4 GHz,16897592524.8,Unknown,Intel(R) Xeon(R) CPU E7- 4870,-,-,-,Red Hat Enterprise Linux AS release 4 (Nahant Update 5),2.6.9-55.ELsmp,3.1-2,0.706324042,6.985,0.706324042,6.985,-,-,2443032356.5005374,3375848488.96,14.4578723445993,19.9782808,10689.917769728,904990.72,98294.873198592,4584151.04,8.154160279,85.002,0.751565657,34.675,0.751565657,34.675,-,-,1873952642.2243574,3375848488.96,11.0900569973064,19.9782808,32902.223299584,10102476.8,132099.154747392,18802601.984,13.491084175,2340.572,0.751565657,34.675,0.751565657,34.675,-,-,1873952642.2243574,3375848488.96,11.0900569973064,19.9782808,32902.223299584,10102476.8,132099.154747392,18802601.984,13.491084175,2340.572,false,4.0,-,-,4293604147.2,0.0,-,-,-,-,-,-,-,-,-,-
usdenvio05,8.0,2.0,3658 MHz,8589934592.0,Virtual (LPAR),PowerPC_POWER8,IBM,"IBM,8408-44E",21DEBAW,2.2.6.21,6.1.9.316 (TL 05),3.4-0,1.640898577,2.232,0.862239359,1.45,1.640898577,2.232,2292134501.9622197,2345349939.2,26.6839575704626,27.3034668,9525.386476544,10112.0,150884.607562752,313400.95488,10.80613879,18.55,1.675628989,2.352,0.870905621,1.7825,1.675628989,2.352,2159114661.2203193,2345349939.2,25.1354028152482,27.3034668,9870.983262208,11284.48,152765.292391424,322028.25728,10.858182624,18.58,1.675628989,2.352,0.870905621,1.7825,1.675628989,2.352,2159114661.2203193,2345349939.2,25.1354028152482,27.3034668,9870.983262208,11284.48,152765.292391424,322028.25728,10.858182624,18.58,true,2.0,-,-,1610612736.0,12556697.6,2,-,-,-,-,Shared-SMT-4,Uncapped,2.0,255,1.00
usdenvio02,8.0,2.0,3658 MHz,8589934592.0,Virtual (LPAR),PowerPC_POWER8,IBM,"IBM,8408-44E",21DEC3W,2.2.6.21,6.1.9.316 (TL 05),3.4-0,0.720907473,1.312,0.372589751,0.6825,0.720907473,1.312,2395816278.8392634,2435758161.92,27.8909723163701,28.355957,204.052954112,716.8,89275.572493312,252534.62016,8.116743772,14.06,0.706202441,1.436,0.36891399,0.695,0.706202441,1.436,2264176630.345761,2435758161.92,26.3584851108586,28.355957,215.514074112,921.6,90027.342368768,252907.52,8.21665404,24.28,0.706202441,1.436,0.36891399,0.695,0.706202441,1.436,2264176630.345761,2435758161.92,26.3584851108586,28.355957,215.514074112,921.6,90027.342368768,252907.52,8.21665404,24.28,true,2.0,-,-,1610612736.0,13295943.68,2,-,-,-,-,Shared-SMT-4,Uncapped,2.0,255,1.00
usdenvio01,8.0,2.0,3658 MHz,8589934592.0,Virtual (LPAR),PowerPC_POWER8,IBM,"IBM,8408-44E",21DEC3W,2.2.6.21,6.1.9.316 (TL 05),3.4-0,0.751382562,1.346,0.383639751,0.68,0.751382562,1.346,2340956275.1546164,2371585310.72,27.252317816726,27.6088867,251.955017728,798.72,91145.255866368,249783.8592,8.544145907,23.48,0.745223386,1.528,0.382685339,0.8375,0.745223386,1.528,2196490543.7147956,2371585310.72,25.5705153554065,27.6088867,252.013008896,947.2,91393.17664768,254394.61376,8.556911148,23.48,0.745223386,1.528,0.382685339,0.8375,0.745223386,1.528,2196490543.7147956,2371585310.72,25.5705153554065,27.6088867,252.013008896,947.2,91393.17664768,254394.61376,8.556911148,23.48,true,2.0,-,-,1610612736.0,13238272.0,1,-,-,-,-,Shared-SMT-4,Uncapped,2.0,255,1.00
usdenvio04,8.0,2.0,3658 MHz,8589934592.0,Virtual (LPAR),PowerPC_POWER8,IBM,"IBM,8408-44E",21DEC3W,2.2.6.21,6.1.9.316 (TL 05),3.4-0,1.41108363,2.03,0.77256452,1.245,1.41108363,2.03,3411088478.8935065,3468144148.48,39.7102963067616,40.3745117,77195.059929088,81674.24,202239.856165888,387200.9216,7.276459075,17.06,1.343135621,2.03,0.714818162,1.245,1.343135621,2.03,3263701927.9222374,3468144148.48,37.9944910285948,40.3745117,88189.134640128,142520.32,196748.56258048,444340.45952,7.217994281,17.26,1.343135621,2.03,0.714818162,1.245,1.343135621,2.03,3263701927.9222374,3468144148.48,37.9944910285948,40.3745117,88189.134640128,142520.32,196748.56258048,444340.45952,7.217994281,17.26,true,2.0,-,-,1610612736.0,15466496.0,2,-,-,-,-,Shared-SMT-4,Uncapped,2.0,255,1.00
usdenvio03,8.0,2.0,3658 MHz,8589934592.0,Virtual (LPAR),PowerPC_POWER8,IBM,"IBM,8408-44E",21DEC3W,2.2.6.21,6.1.9.316 (TL 05),3.4-0,1.824884342,2.534,0.931523345,1.36,1.824884342,2.534,8470764004.231348,8503217356.8,98.612671769395,98.9904785,87242.704626688,93593.6,917713.292044288,3203838.9248,26.47227758,31.14,1.8595,4.318,0.943709289,2.27,1.8595,4.318,8464465384.575074,8522993500.16,98.5393461849673,99.2207031,105252.965228544,488192.0,955289.728543744,3203838.9248,28.12816585,411.9,1.8595,4.318,0.943709289,2.27,1.8595,4.318,8464465384.575074,8522993500.16,98.5393461849673,99.2207031,105252.965228544,488192.0,955289.728543744,3203838.9248,28.12816585,411.9,true,2.0,-,-,1610612736.0,19162726.4,2,-,-,-,-,Shared-SMT-4,Uncapped,2.0,255,1.00
usdenvio18,8.0,2.0,3525 MHz,10737418240.0,Virtual (LPAR),PowerPC_POWER8,IBM,"IBM,8286-42A",21B844V,2.2.6.21,6.1.9.316 (TL 09),3.0-0,1.261309609,2.05,0.717927046,2.2325,1.261309609,2.05,3942983767.167074,4086803988.48,36.72189793879,38.0613281,189.786191872,716.8,111885.333318656,734151.04512,11.505266904,95.52,5.987962494,15.282,2.746294982,7.705,5.987962494,15.282,3683993725.3509693,4086803988.48,34.309865217182,38.0613281,189.8837504,58327.04,113594.367382528,740219.32032,11.650319311,95.8,9.112909946,28.072,4.085252204,19.38,9.112909946,28.072,3737732388.2009068,8568354897.92,38.2980472184289,99.7487793,5396.695626752,17646632.96,128956.191668224,34703980.00128,11.965601852,419.22,true,2.0,-,-,1610612736.0,18098421.76,2,-,-,-,-,Shared-SMT-4,Uncapped,2.0,255,1.00
usdenqrhdb001,12.0,12.0,2.4 GHz,50511164211.2,Virtual (VM),Intel(R) Xeon(R) CPU E5-2695 v2,"VMware, Inc.",-,-,Red Hat Enterprise Linux Server release 5.5 (Tikanga),2.6.18-194.el5,3.1-2,0.109325019,0.825,0.109325019,0.825,-,-,1303433761.1179621,1510138183.68,2.5804864769517,2.9897117,2216.255762432,2621.44,78154.238096384,1003794.432,9.889174721,42.526,0.100921116,2.45833,0.100921116,2.45833,-,-,1139412644.941267,1510138183.68,2.2557639741935,2.9897117,2199.852043264,2846.72,74020.170322944,1003794.432,9.759264785,97.676,0.100921116,2.45833,0.100921116,2.45833,-,-,1139412644.941267,1510138183.68,2.2557639741935,2.9897117,2199.852043264,2846.72,74020.170322944,1003794.432,9.759264785,97.676,false,12.0,-,-,8587208294.4,0.0,-,-,-,-,-,-,-,-,-,-
usdenvio17,8.0,2.0,3525 MHz,10737418240.0,Virtual (LPAR),PowerPC_POWER8,IBM,"IBM,8286-42A",21B844V,2.2.6.21,6.1.9.316 (TL 09),3.0-0,1.25766548,2.76,0.728318505,2.175,1.25766548,2.76,4005371800.215093,4085755412.48,37.3029317790036,38.0515625,199.260924928,737.28,522938.030189568,16311102.84288,34.46633452,409.1,1.238127724,4.414,0.708436391,2.7125,1.238127724,4.414,3730747714.9467278,4085755412.48,34.7452956782058,38.0515625,213.000303616,860.16,475678.532784128,51214712.1664,23.364075013,857.46,1.220008743,16.93,0.685422811,12.7,1.220008743,16.93,3738269399.028597,8566069002.24,38.6916514492623,99.722168,5122.224262144,16526970.88,432137.054104576,149632996.00384,20.588918033,2907.42,true,2.0,-,-,1610612736.0,18224250.88,2,-,-,-,-,Shared-SMT-4,Uncapped,2.0,255,1.00
