Last Reported,Status,Type,ID,Dups,Name,vCenter,Datacenter,Cluster,Host,Tag Count,Server Type,Server Status,Server Environment,OS Type,Engagement Manager,Data Center,Clients - A to I,Client Size Class,Application Stack,Application Environment,QAD Support Environmets,Clients - J to Q,Clients - R to Z,DMZ Server,Zerto Protection,Zerto Destination,Clustered Servers
2018/01/10 21:00,1,VM Guest,441953.0,Yes,qvarqadldb72,81834-vwnt06.odqad.com,ViaWest,Non-Production_Cluster,vwvm61.odqad.com,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/01/10 19:20,1,VM Guest,441950.0,Yes,-,81834-vwnt06.odqad.com,ViaWest,Non-Production_Cluster,vwvm014.odqad.com,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/01/10 19:00,1,VM Guest,441943.0,Yes,qvarqadldb72,81834-vwnt06.odqad.com,ViaWest,Non-Production_Cluster,vwvm003.odqad.com,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/01/10 21:40,1,VM Guest,441928.0,Yes,qshkm8t02,qshkqadnts001.odqad.com,Hong Kong DataCenter,Hong_Kong_Cluster01,qshkqadesx006.odqad.com,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/01/10 21:30,1,Native OS,441839.0,No,odlab05,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/01/10 18:40,1,VM Guest,441770.0,Yes,qvarqadldb72,81834-vwnt06.odqad.com,ViaWest,Non-Production_Cluster,vwvm012.odqad.com,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/01/10 21:44,1,Native OS,441768.0,No,ODADNT07,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/01/10 18:40,1,VM Guest,441764.0,Yes,qshkm8t02,qshkqadnts001.odqad.com,Hong Kong DataCenter,Hong_Kong_Cluster01,qshkqadesx006.odqad.com,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/01/10 21:40,1,Native OS,441762.0,No,ODADNT06,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018/01/10 18:20,1,VM Guest,441741.0,Yes,qvarqadldb72,81834-vwnt06.odqad.com,ViaWest,Non-Production_Cluster,vwvm61.odqad.com,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
